# Package list from WSL host system (Ubuntu)
# Generated: 2026年 08月 28日 星期五 23:16:27 CST
# Total packages: 1105

Package                                  Version              Architecture
-------                                  -------              ------------
adb                                      1:34.0.5-12build1    amd64
adduser                                  3.153ubuntu1         all
adwaita-icon-theme                       50.0-1               all
alacritty                                0.16.1-2ubuntu1      amd64
alsa-topology-conf                       1.2.5.1-3build1      all
alsa-ucm-conf                            1.2.15.3-1ubuntu1.5  all
android-libbase:amd64                    1:34.0.5-12build1    amd64
android-libboringssl:amd64               14.0.0+r45-3         amd64
android-libcutils:amd64                  1:34.0.5-12build1    amd64
android-liblog:amd64                     1:34.0.5-12build1    amd64
android-libziparchive:amd64              1:34.0.5-12build1    amd64
android-udev-rules                       0~20250314+ds-5      all
apache2-utils                            2.4.66-2ubuntu2.4    amd64
apparmor                                 5.0.2-0ubuntu1~26.04.1 amd64
apport                                   2.34.1-0ubuntu0.1    all
apport-core-dump-handler                 2.34.1-0ubuntu0.1    all
apport-symptoms                          0.25build1           all
appstream                                1.1.2-1              amd64
apt                                      3.2.0                amd64
aptitude                                 0.8.13-7ubuntu5      amd64
aptitude-common                          0.8.13-7ubuntu5      all
at-spi2-common                           2.60.4-0ubuntu0.1    all
at-spi2-core                             2.60.4-0ubuntu0.1    amd64
base-files                               14ubuntu6.1          amd64
base-passwd                              3.6.8                amd64
bash                                     5.3-2ubuntu1         amd64
bash-completion                          1:2.16.0-8build1     all
bc                                       1.07.1-4build1       amd64
bind9                                    1:9.20.24-1ubuntu0.2 amd64
bind9-dnsutils                           1:9.20.24-1ubuntu0.2 amd64
bind9-doc                                1:9.20.24-1ubuntu0.2 all
bind9-host                               1:9.20.24-1ubuntu0.2 amd64
bind9-libs:amd64                         1:9.20.24-1ubuntu0.2 amd64
bind9-utils                              1:9.20.24-1ubuntu0.2 amd64
bind9utils                               1:9.18.39-0ubuntu0.22.04.5 all
binutils                                 2.46-3ubuntu2        amd64
binutils-common:amd64                    2.46-3ubuntu2        amd64
binutils-mingw-w64-base                  2.45.90.20260125-1ubuntu1+13.3 amd64
binutils-mingw-w64-i686                  2.45.90.20260125-1ubuntu1+13.3 amd64
binutils-mingw-w64-x86-64                2.45.90.20260125-1ubuntu1+13.3 amd64
binutils-x86-64-linux-gnu                2.46-3ubuntu2        amd64
bison                                    2:3.8.2+dfsg-1build4 amd64
bsdextrautils                            2.41.3-3ubuntu2      amd64
bsdutils                                 1:2.41.3-3ubuntu2    amd64
bubblewrap                               0.11.1-1ubuntu0.1    amd64
build-essential                          12.12ubuntu2.26.04.2 amd64
busybox-static                           1:1.37.0-7ubuntu1    amd64
byobu                                    6.11-0ubuntu3        all
bzip2                                    1.0.8-6build2        amd64
ca-certificates                          20260601~26.04.1     all
caca-utils                               0.99.beta20-6ubuntu2.1 amd64
chafa                                    1.18.1-1             amd64
chrony                                   4.8-2ubuntu1         amd64
cloud-guest-utils                        0.33-1build1         all
cloud-init                               26.1-0ubuntu3~26.04.1 all
cloud-init-base                          26.1-0ubuntu3~26.04.1 all
code                                     1.134.0-1787078834   amd64
command-not-found                        23.04.0build1        all
console-setup                            1.237ubuntu3.1       all
console-setup-linux                      1.237ubuntu3.1       all
coreutils                                9.5-1ubuntu2+0.0.0~ubuntu25 all
coreutils-from-uutils                    0.0.0~ubuntu25       all
cpio                                     2.15+dfsg-2.1        amd64
cpp                                      4:15.2.0-5ubuntu1    amd64
cpp-15                                   15.2.0-16ubuntu1     amd64
cpp-15-x86-64-linux-gnu                  15.2.0-16ubuntu1     amd64
cpp-x86-64-linux-gnu                     4:15.2.0-5ubuntu1    amd64
cpu-checker                              0.7-1.4build1        amd64
cron                                     3.0pl1-200ubuntu1    amd64
cron-daemon-common                       3.0pl1-200ubuntu1    all
curl                                     8.18.0-1ubuntu2.4    amd64
dash                                     0.5.12-12ubuntu3     amd64
dbus                                     1.16.2-2ubuntu4      amd64
dbus-bin                                 1.16.2-2ubuntu4      amd64
dbus-daemon                              1.16.2-2ubuntu4      amd64
dbus-session-bus-common                  1.16.2-2ubuntu4      all
dbus-system-bus-common                   1.16.2-2ubuntu4      all
dbus-user-session                        1.16.2-2ubuntu4      amd64
dbus-x11                                 1.16.2-2ubuntu4      amd64
dconf-gsettings-backend:amd64            0.49.0-4             amd64
dconf-service                            0.49.0-4             amd64
debconf                                  1.5.92               all
debconf-i18n                             1.5.92               all
debian-archive-keyring                   2025.1ubuntu1        all
debianutils                              5.23.2build1         amd64
debootstrap                              1.0.142ubuntu2       all
desktop-file-utils                       0.28-1build1         amd64
dhcpcd-base                              1:10.3.0-7           amd64
diffutils                                1:3.12-1             amd64
dirmngr                                  2.4.8-4ubuntu3       amd64
distro-info                              1.15                 amd64
distro-info-data                         0.72-0ubuntu0.26.04.1 all
dmidecode                                3.6-2build1          amd64
dmsetup                                  2:1.02.205-2ubuntu3  amd64
dns-root-data                            2025080400build1     all
dnsutils                                 1:9.18.39-0ubuntu0.22.04.5 all
dosfstools                               4.2-1.2build1        amd64
dpkg                                     1.23.7ubuntu1        amd64
dpkg-dev                                 1.23.7ubuntu1        all
e2fsprogs                                1.47.2-3ubuntu4      amd64
eatmydata                                131-2build1          all
ed                                       1.22.4-1             amd64
efibootmgr                               18-4ubuntu1          amd64
eject                                    2.41.3-3ubuntu2      amd64
ethtool                                  1:6.19-1             amd64
expect                                   5.45.4-4build1       amd64
fakeroot                                 1.37.2-1             amd64
fdisk                                    2.41.3-3ubuntu2      amd64
file                                     1:5.46-5build2       amd64
findutils                                4.10.0-3build2       amd64
flex                                     2.6.4-8.2build2      amd64
fontconfig                               2.17.1-3ubuntu1      amd64
fontconfig-config                        2.17.1-3ubuntu1      amd64
fonts-dejavu-core                        2.37-8build1         all
fonts-dejavu-mono                        2.37-8build1         all
fonts-droid-fallback                     1:8.1.0r7-1~1.gbp36536bbuild1 all
fonts-font-awesome                       5.0.10+really4.7.0~dfsg-4.1build1 all
fonts-freefont-ttf                       20211204+svn4273-4build1 all
fonts-lato                               2.015-1build1        all
fonts-noto-cjk                           1:20240730+repack1-1build1 all
fonts-noto-mono                          20201225-2build1     all
fonts-ubuntu                             0.869+git20240321-0ubuntu2 all
fonts-urw-base35                         20200910-8build1     all
fuse3                                    3.18.2-1             amd64
g++                                      4:15.2.0-5ubuntu1    amd64
g++-15                                   15.2.0-16ubuntu1     amd64
g++-15-x86-64-linux-gnu                  15.2.0-16ubuntu1     amd64
g++-mingw-w64                            13.2.0-6ubuntu1+26.1 all
g++-mingw-w64-i686                       13.2.0-6ubuntu1+26.1 all
g++-mingw-w64-i686-posix                 13.2.0-6ubuntu1+26.1 amd64
g++-mingw-w64-i686-win32                 13.2.0-6ubuntu1+26.1 amd64
g++-mingw-w64-x86-64                     13.2.0-6ubuntu1+26.1 all
g++-mingw-w64-x86-64-posix               13.2.0-6ubuntu1+26.1 amd64
g++-mingw-w64-x86-64-win32               13.2.0-6ubuntu1+26.1 amd64
g++-x86-64-linux-gnu                     4:15.2.0-5ubuntu1    amd64
gawk                                     1:5.3.2-1ubuntu1.1   amd64
gcc                                      4:15.2.0-5ubuntu1    amd64
gcc-15                                   15.2.0-16ubuntu1     amd64
gcc-15-base:amd64                        15.2.0-16ubuntu1     amd64
gcc-15-x86-64-linux-gnu                  15.2.0-16ubuntu1     amd64
gcc-16-base:amd64                        16-20260322-1ubuntu1 amd64
gcc-mingw-w64                            13.2.0-6ubuntu1+26.1 all
gcc-mingw-w64-base:amd64                 13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-i686                       13.2.0-6ubuntu1+26.1 all
gcc-mingw-w64-i686-posix                 13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-i686-posix-runtime         13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-i686-win32                 13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-i686-win32-runtime         13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-x86-64                     13.2.0-6ubuntu1+26.1 all
gcc-mingw-w64-x86-64-posix               13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-x86-64-posix-runtime       13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-x86-64-win32               13.2.0-6ubuntu1+26.1 amd64
gcc-mingw-w64-x86-64-win32-runtime       13.2.0-6ubuntu1+26.1 amd64
gcc-x86-64-linux-gnu                     4:15.2.0-5ubuntu1    amd64
gdisk                                    1.0.10-2build1       amd64
genisoimage                              9:1.1.11-5           amd64
gettext-base                             0.23.2-1             amd64
ghostscript                              10.06.0~dfsg-3ubuntu1 amd64
ghp-import                               2.1.0-3build1        all
gir1.2-girepository-3.0:amd64            2.88.0-1             amd64
gir1.2-glib-2.0:amd64                    2.88.0-1             amd64
gir1.2-packagekitglib-1.0                1.3.4-3ubuntu1.2     amd64
git                                      1:2.53.0-1ubuntu1    amd64
git-man                                  1:2.53.0-1ubuntu1    all
glib-networking:amd64                    2.80.1-1build2       amd64
glib-networking-common                   2.80.1-1build2       all
glib-networking-services                 2.80.1-1build2       amd64
glycin-loaders                           2.1.1+ds-0ubuntu1    amd64
glycin-thumbnailers                      2.1.1+ds-0ubuntu1    amd64
gnu-coreutils                            9.7-3ubuntu2         amd64
gnupg                                    2.4.8-4ubuntu3       all
gnupg-l10n                               2.4.8-4ubuntu3       all
gnupg-utils                              2.4.8-4ubuntu3       amd64
gpg                                      2.4.8-4ubuntu3       amd64
gpg-agent                                2.4.8-4ubuntu3       amd64
gpg-wks-client                           2.4.8-4ubuntu3       amd64
gpgconf                                  2.4.8-4ubuntu3       amd64
gpgsm                                    2.4.8-4ubuntu3       amd64
gpgv                                     2.4.8-4ubuntu3       amd64
grep                                     3.12-1               amd64
groff-base                               1.23.0-10            amd64
grub-common                              2.14-2ubuntu2.1      amd64
grub-efi-amd64                           2.14-2ubuntu1        amd64
grub-efi-amd64-bin                       2.14-2ubuntu1        amd64
grub-efi-amd64-signed                    1.215+2.14-2ubuntu1  amd64
grub-efi-amd64-unsigned                  2.14-2ubuntu1        amd64
grub-efi-ia32-bin                        2.14-2ubuntu2.1      amd64
grub-efi-ia32-unsigned                   2.14-2ubuntu2.1      amd64
grub-pc-bin                              2.14-2ubuntu2.1      amd64
grub2-common                             2.14-2ubuntu2.1      amd64
gsettings-desktop-schemas                50.0-1ubuntu2        all
gstreamer1.0-plugins-base:amd64          1.28.2-1             amd64
gstreamer1.0-plugins-good:amd64          1.28.2-2ubuntu0.1    amd64
gstreamer1.0-x:amd64                     1.28.2-1             amd64
gtk-update-icon-cache                    4.22.4+ds-0ubuntu0.1 amd64
gzip                                     1.14-1~exp2ubuntu1.1 amd64
hicolor-icon-theme                       0.18-2build1         all
hostname                                 3.25build1           amd64
htop                                     3.4.1-5build2        amd64
ibus-gtk3:amd64                          1.5.34~rc2-1         amd64
ibverbs-providers:amd64                  61.0-2ubuntu3        amd64
imagemagick                              8:7.1.2.18+dfsg1-1   amd64
imagemagick-7-common                     8:7.1.2.18+dfsg1-1   all
imagemagick-7.q16                        8:7.1.2.18+dfsg1-1   amd64
info                                     7.2-5ubuntu2         amd64
init                                     1.69                 amd64
init-system-helpers                      1.69                 all
install-info                             7.2-5ubuntu2         amd64
iproute2                                 6.19.0-1ubuntu1.1    amd64
iptables                                 1.8.11-2ubuntu3      amd64
iputils-ping                             3:20250605-1ubuntu1  amd64
ipxe-qemu                                1.21.1+git-20250829.969ce2c55+dfsg-3ubuntu2 all
ipxe-qemu-256k-compat-efi-roms           1.0.0+git-20150424.a25a16d-0ubuntu7 all
iso-codes                                4.20.1-1             all
javascript-common                        12+nmu1build1        all
jdk-25                                   25.0.3-ga            amd64
jp2a                                     1.3.2-1ubuntu1       amd64
kbd                                      2.7.1-2ubuntu2       amd64
keyboard-configuration                   1.237ubuntu3.1       all
kmod                                     34.2-2ubuntu2        amd64
krb5-locales                             1.22.1-2ubuntu4.1    all
landscape-client                         26.02.2-0ubuntu1     amd64
landscape-common                         26.02.2-0ubuntu1     amd64
language-pack-zh-hans                    1:26.04+20260417     all
language-pack-zh-hans-base               1:26.04+20260417     all
less                                     668-1build1          amd64
libaa1:amd64                             1.4p5-51.1build1     amd64
libabsl20260107:amd64                    20260107.0-4         amd64
libacl1:amd64                            2.3.2-2              amd64
libaio1t64:amd64                         0.3.113-8build1      amd64
libalgorithm-diff-perl                   1.201-1              all
libalgorithm-diff-xs-perl                0.04-9               amd64
libalgorithm-merge-perl                  0.08-5               all
libaom3:amd64                            3.13.1-2             amd64
libapparmor1:amd64                       5.0.2-0ubuntu1~26.04.1 amd64
libappstream5:amd64                      1.1.2-1              amd64
libapr1t64:amd64                         1.7.6-3              amd64
libaprutil1t64:amd64                     1.6.3-3ubuntu3       amd64
libapt-pkg7.0:amd64                      3.2.0                amd64
libasan8:amd64                           16-20260322-1ubuntu1 amd64
libasound2-data                          1.2.15.3-1ubuntu1.1  all
libasound2t64:amd64                      1.2.15.3-1ubuntu1.1  amd64
libassuan9:amd64                         3.0.2-2build1        amd64
libasyncns0:amd64                        0.8-7                amd64
libatk-bridge2.0-0t64:amd64              2.60.4-0ubuntu0.1    amd64
libatk1.0-0t64:amd64                     2.60.4-0ubuntu0.1    amd64
libatomic1:amd64                         16-20260322-1ubuntu1 amd64
libatspi2.0-0t64:amd64                   2.60.4-0ubuntu0.1    amd64
libattr1:amd64                           1:2.5.2-4            amd64
libaudit-common                          1:4.1.2-1build1      all
libaudit1:amd64                          1:4.1.2-1build1      amd64
libauthen-sasl-perl                      2.2000-1             all
libavahi-client3:amd64                   0.8-18ubuntu1.1      amd64
